t,ax,ay,az,wx,wy,wz,s
603.6502413746,-16676,-672,-1220,-948,1963,-288,1
603.7603714462,-15668,-328,-1964,1022,-683,-137,1
603.8665254112,-15476,-1016,-1420,976,736,-307,0
603.9726202484,-15604,-808,-2096,116,180,-226,0
604.0787472721,-15512,-456,-1804,454,420,-230,0
604.1848702427,-15124,-416,-1976,-775,-132,-125,0
604.2930064198,-14872,-900,-2904,42,120,-210,0
604.4013304707,-15316,-296,-1924,-416,-55,-307,0
604.5107812878,-15404,-288,-1840,441,-56,-333,0
604.6203384396,-15132,-608,-2304,80,-5,-415,0
604.7297294136,-15412,-560,-2248,-28,-258,-419,0
604.8394284245,-15280,-468,-1868,63,-121,-387,0
604.9489853378,-15396,-444,-1704,119,-220,-370,0
605.058686256,-15540,-748,-1664,35,-113,-414,0
605.1680684086,-15592,-660,-1676,-38,-179,-391,0
605.2774562832,-15192,-628,-1716,62,-78,-387,0
605.386972427,-15544,-620,-1560,69,-57,-347,0
605.4965183731,-15848,-720,-1692,187,108,-311,0
605.6060543057,-15412,-592,-1180,-87,319,-338,0
605.7156343456,-15544,-828,-2168,299,551,-288,0
605.8247244354,-14844,-3556,-4132,-1922,1146,-397,0
605.9328782555,-17068,-3824,-5224,-2776,3357,-4000,0
606.0409114357,-13704,-4336,-5540,109,3238,-6536,0
606.1489293572,-14168,-2920,-3036,-4297,2157,-7060,0
606.2572934624,-13584,-3520,-4460,-2856,1907,-5264,0
606.3653874394,-11128,-4724,-5196,320,3868,-5883,0
606.473400354,-11760,-6576,-4636,4099,-865,-4437,0
606.5817012783,-11192,-7796,-3724,220,-1774,453,0
606.6898694035,-18088,-11876,-15272,917,-2907,1953,0
606.79775238,-16172,-3460,-1704,6007,-5679,6828,1
606.9057962891,-15004,-3372,-40,2801,-9394,5290,0
607.0160143372,-16516,-1172,1612,4780,-4282,9177,0
607.1256792542,-15992,-2744,2304,3180,-6247,6557,0
607.2351613041,-16296,-1520,1848,2308,-6661,5830,0
607.3446702954,-16168,-5496,-2060,6733,-2910,4450,0
607.4541833397,-22940,-9000,-8416,2612,4926,-2022,0
607.5635523792,-22112,3944,1892,1701,12694,-10506,0
607.672998428,-16032,4764,996,1616,10591,-11403,0
607.7824082371,-11788,3308,1624,459,5543,-8544,0
607.8919403549,-11992,20,-2708,-9844,1522,-4114,0
608.0013303753,-15148,-4612,-7280,-1021,1925,-3255,1
608.1107313629,-16012,13292,-2012,-9548,-7074,3871,0
608.2203493115,-15308,-1604,-2216,6750,-10674,6727,0
608.3296923634,-15568,-3032,736,1514,-7569,7230,0
608.4392743107,-16376,-2752,-352,3623,-11141,7657,0
608.5487754341,-16008,-6348,-2148,3354,-4694,6116,0
608.6583423611,-21120,-10804,-13492,12187,12347,-1765,0
608.7679083344,-23076,496,6536,-5516,14332,-10269,0
608.8774354454,-15300,160,7008,-11408,8508,-13965,0
608.9910292622,-11072,2360,3352,-7185,-437,-11123,0
609.104623079,-8412,-4852,916,-11413,-8610,-3342,0
609.210759163,-12788,-5544,4924,-16852,-4860,-4495,1
609.31686306,-20676,1792,18084,-32768,-25284,-7291,1
609.422966957,-18608,-1192,-676,4317,-10237,8236,0
609.529045105,-16520,-824,-436,-6386,-9166,7290,0
609.635149002,-15444,-1364,-1608,-3364,-10226,7127,0
609.741333961,-16200,-5496,-4684,1013,-3311,6567,0
609.847522974,-26368,-6496,-5780,1906,12750,-2422,0
609.95717907,-19084,-852,9184,-15821,13104,-15351,0
610.066646099,-16404,-984,7988,-17143,4448,-15485,0
610.176234007,-13808,1264,1376,-12862,-871,-13638,0
610.285673141,-14516,-1120,-2028,-16927,-4974,-10339,0
610.395173073,-10752,-4464,-816,-6971,-5299,-4514,1
610.50466609,-8640,3480,13928,-32768,-12639,-6316,0
610.614053965,-17552,-936,-756,2364,-5450,5710,0
610.723461151,-15432,-1220,-1092,837,-5703,6505,0
610.832989931,-14608,-1756,-1804,-350,-4690,4525,0
610.942363024,-17408,-4324,-4084,3929,-3845,4438,0
611.051895142,-18832,-1332,-4432,4965,6490,-1664,0
611.161306143,-14560,2520,828,-4768,3131,-3694,0
611.270887136,-13840,6260,-644,-1029,1512,1859,0
611.380424976,-13992,3672,-1864,-684,-1179,2299,0
611.4899261,-15004,3232,-3080,57,-2336,1059,0
611.599422932,-14724,1324,-3932,251,-1443,1105,0
611.708961964,-14088,2088,-3992,-4187,360,-892,0
611.818470955,-15868,-2808,-2908,-4270,2845,-2080,0
611.927972078,-15448,-2900,-2044,-4286,4110,-6467,0
612.037552118,-17060,-4560,-876,-5668,2520,-10735,0
612.147006989,-16068,-4020,-472,-11248,-1663,-13238,0
612.256591082,-15348,-3256,-3828,-12753,-2389,-12454,0
612.366147041,-13100,-2104,-832,-5173,-3065,-9632,0
612.47568202,-11816,-4332,-2768,-8108,-6311,-3425,0
612.587396145,-19068,-15388,-15584,-2762,-3739,145,0
612.696946144,-15240,-2892,4912,-5704,967,7726,1
612.806416035,-15844,-4284,-2060,844,-2212,5514,0
612.915810108,-20032,-5308,-2880,-2285,-3052,8883,0
613.02540493,-14024,-4624,-1020,-1426,-5967,1982,0
613.134815931,-16064,-2160,2128,-823,-5007,1439,0
613.244203091,-15900,-852,2568,764,-6189,3267,0
613.353595972,-16504,-4864,-844,8695,-1070,3041,0
613.463097095,-21728,-3708,-8212,10242,13905,-6556,0
613.572487116,-22732,3408,-780,-1287,8078,-7804,0
613.682017088,-12860,4732,-328,3852,10377,-8429,0
613.791648149,-9788,1096,308,5893,3353,-3250,0
613.901195049,-9468,-7124,-9184,-1608,1754,-5530,0
614.010695934,-14588,-712,-3928,-4165,292,391,0
614.120211124,-15872,-2976,3692,-5221,9415,4193,1
614.229855061,-15864,-3876,-104,5021,-9248,5902,0
614.33940196,-15588,-1368,-476,4203,-6816,6697,0
614.448872089,-15236,-4316,1172,5933,-4867,5683,0
614.558489084,-15480,-1960,-924,1928,-6437,5047,0
614.667876005,-16524,-4520,-1132,9781,-766,5602,0
614.777482033,-21588,-2680,-7400,5791,9954,-1028,0
614.888055086,-16040,4348,160,2756,4869,-4052,0
614.99770093,-13020,4704,-1568,1369,4218,-7091,0
615.107147932,-15980,-52,-888,2014,749,-8116,0
615.216524124,-13972,192,-1300,-6660,-740,-7164,0
615.326084137,-14396,-564,1552,-7395,-4178,-4201,0
615.435555935,-13356,1320,-7044,-7119,-590,-871,0
615.545030117,-14804,-3740,-4552,-1161,-2857,880,1
615.654597998,-14368,-3748,-2268,-3453,-927,303,0
615.764076948,-15032,-2996,-2400,-4139,-880,263,0
615.873469114,-14912,-3476,-3336,-1667,-260,346,0
615.983027935,-14520,-4160,-3532,-3208,-193,-243,0
616.092405081,-15944,-3592,-2276,-5953,-260,-2046,0
616.201806068,-15576,-916,-4144,-5022,1092,-1884,0
616.311439991,-14768,364,-1588,-2771,1112,-1459,0
616.420824051,-14668,-1492,-3172,439,-285,105,0
616.530349016,-14216,-2080,-4928,1341,1252,294,0
616.639910936,-15068,-2320,-3436,4521,1070,162,0
616.749279976,-15352,-840,-4260,3998,2788,-446,0
616.858850002,-15604,-680,-2520,-856,-1444,1873,0
616.968385935,-12140,-2628,-5772,5576,-2170,4413,0
617.077875137,-15056,-600,-5884,6670,3660,5129,0
617.187304974,-13832,3660,-2328,-2615,-145,4558,0
617.297410011,-12984,1608,-3632,-774,-3915,5543,0
617.406636953,-15712,-3444,1412,-1579,-2034,564,0
617.514718056,-18704,-3180,-4916,6487,-1913,22,1
617.622663021,-14544,-7888,596,2285,-2244,-3262,0
617.732284069,-16548,-1724,1972,-1495,-203,-2060,0
617.841815948,-15456,-1936,-596,329,-1065,-2043,0
617.951532125,-14700,-2928,-1060,-233,-1233,-2724,0
618.061058998,-15784,-3336,-176,196,-483,-1494,0
618.170539141,-16044,-3052,340,-320,225,-89,0
618.279996157,-15776,-3184,196,1297,21,-375,0
618.389493942,-15352,-4208,444,1261,329,101,0
618.49919796,-15044,-3832,-176,-1340,-900,740,0
618.608718157,-14944,-3716,156,-1480,-108,727,0
618.718121052,-16132,-2040,-1308,-1225,-953,1456,0
618.827646017,-15704,-2532,844,-1388,-532,2940,0
618.937116146,-15684,-2112,468,-1541,-2301,4646,0
619.046576977,-16972,-1436,1596,-1379,-437,5721,0
619.15615201,-17684,-6996,-7160,-1884,2708,3512,0
619.265604973,-16984,-7964,1580,-6695,11121,-5216,0
619.37502408,-18096,-2820,3028,-19315,5908,-17246,0
619.484400034,-16956,60,2540,-12275,7820,-14009,0
619.593899965,-14416,784,668,-4806,4210,-11299,0
619.703266144,-12264,-4072,-2524,-11194,-1047,-11776,0
619.812752962,-9908,-10868,-9440,1755,2452,-4016,0
619.92218399,-9312,4556,-11100,-9403,-5496,6309,1
620.031759977,-18316,-1132,-4516,16939,-7726,5629,0
620.141418934,-14496,-6068,-604,1830,-8215,7752,0
620.250950098,-15296,-2412,-340,522,-7555,7537,0
620.360532999,-13668,-6812,-4280,2880,-3721,6677,0
620.470066071,-14856,-7972,-11780,7572,5139,6851,0
620.579581022,-25504,-5228,10064,-16650,16967,-18222,0
620.689173937,-19492,-2840,8648,-18922,7567,-15837,0
620.798727036,-14844,24,7704,-22510,-3143,-17621,0
620.908195019,-15192,3208,116,-21303,-5496,-14293,0
621.017663956,-10284,-9460,-7068,-16,-3653,-6682,1
621.127140045,-20220,-8556,-3196,-15800,-6925,-3198,1
621.236560106,-20232,-4816,3728,9954,-5354,11859,0
621.34614706,-16564,-3120,4844,9326,-8620,11447,0
621.455588102,-15592,2180,-1688,1879,-9552,9195,0
621.565374136,-15268,-2836,-1032,-1543,-6541,5128,0
621.679914951,-15808,-7096,-7204,2209,-3170,4096,0
621.799011946,-24708,-9932,4512,-5280,15458,-10790,0
621.905136108,-21636,-4360,6080,-13340,8869,-17380,0
622.011288166,-14852,3960,5008,-8868,5450,-13017,0
622.117385149,-12740,3988,2160,1290,2269,-5411,0
622.223447084,-11684,-5924,-5168,-850,-3670,-6269,0
622.329535007,-15404,-4020,-3440,-6802,-2588,3269,1
622.435678959,-20444,-8944,12752,-12608,-9476,4187,0
622.545320034,-19148,-2144,3608,9989,-3055,10802,0
622.654855967,-17092,-860,-576,3296,-6342,8082,0
622.764433146,-14472,-4632,-2992,-3673,-4532,8115,0
622.87392807,-15444,-7884,-9584,4232,-840,6776,0
622.983361006,-25976,-7360,10868,-7818,19972,-12994,0
623.092725039,-20808,-924,5516,-15181,6644,-18319,0
623.202085972,-15444,1952,5244,-16286,2196,-15869,0
623.311675072,-13100,1636,776,-5443,-1307,-9833,0
623.421060085,-13184,-8872,-8244,-214,-2971,-4125,1
623.530697107,-21008,-11572,-12404,376,-11904,269,0
623.640237093,-19588,224,4516,8254,-5895,10097,0
623.750003099,-16016,-40,-532,2105,-10209,8519,0
623.859496117,-14384,-1536,124,1674,-12439,8122,0
623.969012022,-16388,-3276,-2964,797,-6181,6223,0
624.078499079,-15384,-10176,-9672,4721,1642,4429,0
